drug,region1,region2,weight,distance
PSI,Tuberomammillary nucleus ventral part,Interfascicular nucleus raphe,0.9999303949596766,0.00010000500033334732
PSI,Tuberomammillary nucleus ventral part,Primary somatosensory area mouth,0.9997747186031936,0.00022530677647209876
PSI,Tuberomammillary nucleus ventral part,Spinal nucleus of the trigeminal oral part,0.9996846571165235,0.00031539261449869195
PSI,Tuberomammillary nucleus ventral part,Inferior colliculus,0.99938085904597,0.0006193327009401797
PSI,Tuberomammillary nucleus ventral part,Lateral visual area,0.9991578586723087,0.0008424961279078422
PSI,Tuberomammillary nucleus ventral part,Anterior olfactory nucleus,0.999149597495453,0.0008507643018870316
PSI,Tuberomammillary nucleus ventral part,Parastrial nucleus,0.9982523120108122,0.001749216977564337
PSI,Tuberomammillary nucleus ventral part,Locus ceruleus,0.9980467608599326,0.0019551491992433685
PSI,Tuberomammillary nucleus ventral part,Agranular insular area ventral part,0.9979310372773721,0.002071105982728812
PSI,Tuberomammillary nucleus ventral part,Dorsal terminal nucleus of the accessory optic tract,0.9969357574097999,0.0030689469942741607
PSI,Tuberomammillary nucleus ventral part,Nucleus of reuniens,0.9949697184511768,0.005042976004069542
PSI,Tuberomammillary nucleus ventral part,Anterodorsal preoptic nucleus,0.9946307761219554,0.005383689964912191
PSI,Tuberomammillary nucleus ventral part,Retrosplenial area lateral agranular part,0.9938603066754041,0.006158618745607422
PSI,Tuberomammillary nucleus ventral part,fiber tracts,0.9931469129343555,0.006876677305899275
PSI,Tuberomammillary nucleus ventral part,Periventricular hypothalamic nucleus anterior part,0.9927971316632089,0.007228934234502076
PSI,Tuberomammillary nucleus ventral part,Piriform area,0.9926647353360409,0.007362300006532068
PSI,Inferior colliculus,Lateral visual area,0.9999731232886684,0.00010000500033334732
PSI,Inferior colliculus,Primary somatosensory area mouth,0.9992712030508615,0.0007290626507379117
PSI,Inferior colliculus,Interfascicular nucleus raphe,0.999162093085818,0.0008382581543984788
PSI,Inferior colliculus,Spinal nucleus of the trigeminal oral part,0.99836597239476,0.0016353640844417106
PSI,Inferior colliculus,Dorsal terminal nucleus of the accessory optic tract,0.9981443928344564,0.0018573309372788302
PSI,Inferior colliculus,Anterior olfactory nucleus,0.9978346798992247,0.0021676677959646677
PSI,Inferior colliculus,Nucleus of reuniens,0.9976065949451394,0.0023962738270756974
PSI,Inferior colliculus,Locus ceruleus,0.9973120316317445,0.002691587441988426
PSI,Inferior colliculus,Piriform area,0.9961793151002233,0.003828002360749938
PSI,Inferior colliculus,Parastrial nucleus,0.9957008561452751,0.004308411745869776
PSI,Inferior colliculus,Periventricular hypothalamic nucleus anterior part,0.9956973337444399,0.004311949361654624
PSI,Inferior colliculus,Anterodorsal preoptic nucleus,0.9953890629231693,0.00462160023792973
PSI,Inferior colliculus,Agranular insular area ventral part,0.9951370754426335,0.004874787048215752
PSI,Inferior colliculus,Induseum griseum,0.9924639282921055,0.00756461137133131
PSI,Inferior colliculus,Paraventricular hypothalamic nucleus,0.9923227990917173,0.007706822318914679
PSI,Principal sensory nucleus of the trigeminal,Anteroventral preoptic nucleus,0.9998331756106059,0.00016683830613031963
PSI,Principal sensory nucleus of the trigeminal,Ventral auditory area,0.9991143491067168,0.0008860433137510389
PSI,Principal sensory nucleus of the trigeminal,Parasolitary nucleus,0.9984246191629095,0.0015766230542963334
PSI,Principal sensory nucleus of the trigeminal,Area postrema,0.993428653430002,0.006593032925785418
PSI,Interfascicular nucleus raphe,Anterior olfactory nucleus,0.9995622343301891,0.00043786151717521807
PSI,Interfascicular nucleus raphe,Spinal nucleus of the trigeminal oral part,0.9995306147182221,0.0004694954775334355
PSI,Interfascicular nucleus raphe,Primary somatosensory area mouth,0.9994603292516018,0.0005398164230698265
PSI,Interfascicular nucleus raphe,Lateral visual area,0.998967914153234,0.0010326188141070887
PSI,Interfascicular nucleus raphe,Locus ceruleus,0.9986782110495621,0.001322663283993849
PSI,Interfascicular nucleus raphe,Parastrial nucleus,0.9986552304843409,0.001345674529632008
PSI,Interfascicular nucleus raphe,Agranular insular area ventral part,0.9979305496352984,0.0020715946359269283
