drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
PSI,Tuberomammillary nucleus ventral part,1,167.8166613795236,180.1283480551262,194.18030466356498,22.005915203598132,121.78622230750872,164.5311855482467,1.8031013342949874e-05,0.21994230075730256,0.44959730736867354
PSI,Inferior colliculus,4,168.2142708646142,179.50035415426015,194.24013228705348,21.92767499703367,121.66291940797858,163.2728441241379,0.0,0.010800576992426975,0.4430941218896502
PSI,Principal sensory nucleus of the trigeminal,7,102.67580070142239,145.84764253388573,194.04126864882102,15.747610904501352,85.8775355522051,121.79240443607034,0.0,0.06401009736747205,0.21680490443562928
PSI,Interfascicular nucleus raphe,12,168.00441138413066,180.29610307057698,194.13261622443008,21.988476813729324,121.45447895991155,164.72694798133986,1.2020675561966582e-05,0.011684096646231518,0.44129102055535524
PSI,Induseum griseum,19,168.80465969060822,178.36269864580473,194.04844742578095,21.549638873622165,120.65835134180989,159.38482801858365,0.0,0.00284890010818608,0.40414713306887845
PSI,Anterior amygdalar area,23,161.11780306760423,178.17433713089227,193.50203381979253,21.638200157690733,119.20916033060864,161.3492165934769,0.0,0.2872701045798774,0.4277677605481428
PSI,Intergeniculate leaflet of the lateral geniculate complex,27,167.3107760515641,177.91458653271656,192.85973643795234,21.541242784997944,118.85190062142826,161.4917203987523,0.0,0.0,0.45315542733501624
PSI,Periventricular hypothalamic nucleus anterior part,30,166.92489566587363,178.27902736117537,194.00202076276798,21.540046236690817,120.51821296705938,156.92877808332852,0.0,0.3553552109628561,0.45735665344392357
PSI,Paraventricular hypothalamic nucleus,38,168.3722160541868,178.4904884889915,193.9284124192502,21.525172175138575,120.52616740659592,157.79475627421462,7.21240533717995e-05,0.357554994590696,0.4753696357735305
PSI,Anterior cingulate area dorsal part,39,140.63822708834363,164.33047553050056,194.13809198437406,18.028705648663045,93.7497625529588,163.74280290829375,0.0,0.0,0.21777857915614857
PSI,Infralimbic area,44,167.43213653881216,175.73580981807677,193.41777810717292,21.055160352322925,118.56082295772023,156.88229958994418,0.0,0.0028789517970909968,0.45459790840245223
PSI,Anterior cingulate area ventral part,48,163.48122736587862,174.36745480539832,188.49573606788078,18.68454899648649,110.22030090709421,157.00015427426405,0.13119365308330327,0.374828705373242,0.44197619906238733
