drug,region,region_id,delta_eg,is_articulation_point,residual_gc
PSI,Tuberomammillary nucleus ventral part,1,1.1681911873020994,False,
PSI,Inferior colliculus,4,0.8416447044937314,False,
PSI,Principal sensory nucleus of the trigeminal,7,0.2085608759317168,False,
PSI,Interfascicular nucleus raphe,12,1.091755930160076,False,
PSI,Induseum griseum,19,0.5467204398511427,False,
PSI,Anterior amygdalar area,23,0.7754179941767916,False,
PSI,Intergeniculate leaflet of the lateral geniculate complex,27,0.16909664353504184,False,
PSI,Periventricular hypothalamic nucleus anterior part,30,0.3422624325567867,False,
PSI,Paraventricular hypothalamic nucleus,38,0.7709550415743678,False,
PSI,Anterior cingulate area dorsal part,39,-0.04861261730708577,False,
PSI,Infralimbic area,44,0.41567810351400425,False,
PSI,Anterior cingulate area ventral part,48,0.036278412295828844,False,
PSI,Nucleus accumbens,56,0.023182113955520833,False,
PSI,Paraventricular hypothalamic nucleus descending division,63,-0.13582096155997903,False,
PSI,Lateral terminal nucleus of the accessory optic tract,66,-0.12829675055995438,False,
PSI,Anterodorsal preoptic nucleus,72,0.23106000515765146,False,
PSI,Dorsal terminal nucleus of the accessory optic tract,75,0.4401825311332317,False,
PSI,Inferior olivary complex,83,0.05758357123357172,False,
PSI,Anterior hypothalamic nucleus,88,0.03826342477618283,False,
PSI,Interposed nucleus,91,0.3277434488849664,False,
PSI,Dorsal cochlear nucleus,96,-0.01837965154808785,True,0.5296610169491526
PSI,Interpeduncular nucleus,100,0.20762948986544671,False,
PSI,Ventral cochlear nucleus,101,0.2540295598665594,False,
PSI,Agranular insular area dorsal part,104,0.0938975353881375,False,
PSI,Inferior salivatory nucleus,106,0.00992263579285435,False,
PSI,Agranular insular area posterior part,111,0.11005578634694047,False,
PSI,Trochlear nucleus,115,-0.22447271798547774,False,
PSI,Periventricular hypothalamic nucleus intermediate part,118,-0.05731518875466435,False,
PSI,Agranular insular area ventral part,119,0.6543452716096425,False,
PSI,Periventricular hypothalamic nucleus posterior part,126,0.18192081566305518,False,
PSI,Anteromedial nucleus,127,0.05991074963958454,False,
PSI,Midbrain reticular nucleus,128,-0.052643935948204046,False,
PSI,Nucleus ambiguus,135,0.3893427156863041,False,
PSI,Intermediate reticular nucleus,136,-0.16400195061419964,False,
PSI,Pontine reticular nucleus,146,-0.1612356810727178,False,
PSI,Locus ceruleus,147,0.41978805683167053,False,
PSI,Paraventricular nucleus of the thalamus,149,-0.025834214484703466,True,0.5084745762711864
PSI,Accessory olfactory bulb,151,-0.0022930138645520515,False,
PSI,Lateral dorsal nucleus of thalamus,155,0.1011685514595726,False,
PSI,Anterior olfactory nucleus,159,0.6824964796518458,False,
PSI,Nucleus prepositus,169,0.13065674955591078,False,
PSI,Dorsal part of the lateral geniculate complex,170,-0.010689070186067795,True,0.5296610169491526
PSI,Retrochiasmatic area,173,0.4219380791474947,False,
PSI,Nucleus of Roller,177,0.18044931991177293,False,
PSI,Ventral part of the lateral geniculate complex,178,0.06856006026485062,False,
PSI,Nucleus of reuniens,181,0.40723706925124503,False,
PSI,Frontal pole cerebral cortex,184,0.1994718278445049,False,
PSI,Lateral habenula,186,-0.2414205366581612,False,
PSI,Rhomboid nucleus,189,0.005524467049752957,True,0.5127118644067796
PSI,Lateral hypothalamic area,194,-0.20047084340792054,False,
PSI,Rostral linear nucleus raphe,197,-0.122376009849404,False,
PSI,Medial vestibular nucleus,202,0.4685617065571037,False,
PSI,Linear nucleus of the medulla,203,0.2554761046286913,False,
PSI,Nucleus raphe magnus,206,0.32937664166330904,False,
PSI,Area postrema,207,-0.09479819519965105,False,
PSI,Lateral vestibular nucleus,209,0.15115707869086492,False,
PSI,Lateral mammillary nucleus,210,0.0775061579120333,False,
PSI,Red nucleus,214,-0.16574597395231905,True,0.5296610169491526
PSI,Anterior pretectal nucleus,215,0.1360138579229755,False,
PSI,Superior vestibular nucleus,217,-0.07699881372381157,False,
PSI,Lateral posterior nucleus of the thalamus,218,0.06149105122942444,False,
PSI,Lateral preoptic area,226,-0.0041145317877635534,False,
PSI,Nucleus raphe pallidus,230,0.07627922335392157,False,
PSI,Anterior tegmental nucleus,231,0.23531699279283913,False,
PSI,Lateral reticular nucleus,235,0.22374183184985696,False,
PSI,Nucleus raphe pontis,238,-0.18726317156370698,True,0.5296610169491526
PSI,Midbrain reticular nucleus retrorubral area,246,-0.22179870640053423,False,
PSI,Lateral septal nucleus caudal (caudodorsal) part,250,-0.19541758560350786,False,
PSI,Lateral septal nucleus rostral (rostroventral) part,258,0.0783587711076521,False,
PSI,Reticular nucleus of the thalamus,262,0.18313484028413285,False,
PSI,Anteroventral preoptic nucleus,263,0.2896673465752002,False,
PSI,Anteroventral periventricular nucleus,272,0.4547356613349365,False,
PSI,Barrington's nucleus,280,0.09038580625398396,False,
PSI,Suprachiasmatic nucleus,286,-0.06701743280591188,False,
PSI,Bed nucleus of the anterior commissure,287,-0.14202599927591564,False,
PSI,Bed nucleus of the accessory olfactory tract,292,-0.04092265667746631,False,
PSI,Superior colliculus motor related,294,0.009397618117269246,False,
PSI,Basolateral amygdalar nucleus,295,0.43134722830990313,False,
PSI,Magnocellular nucleus,298,0.17738667285820497,False,
PSI,Superior colliculus sensory related,302,0.27767046583059596,False,
PSI,Basomedial amygdalar nucleus,319,-0.07980209602681043,False,
PSI,Suprageniculate nucleus,325,-0.035981388846010987,True,0.5296610169491526
PSI,Primary somatosensory area barrel field,329,0.8768579923006143,False,
PSI,Accessory supraoptic group,332,-0.2027569881261897,False,
PSI,Septohippocampal nucleus,333,-0.17346491312544998,False,
PSI,Primary somatosensory area lower limb,337,-0.05888343502938653,True,0.5211864406779662
PSI,Subfornical organ,338,-0.1619470039480433,False,
PSI,Primary somatosensory area mouth,345,0.809173876912638,False,
PSI,Subparaventricular zone,347,-0.17984986470622033,True,0.5296610169491526
PSI,Subceruleus nucleus,350,0.15351324572965552,True,0.5211864406779662
PSI,Bed nuclei of the stria terminalis,351,0.11989143966992089,False,
PSI,Primary somatosensory area nose,353,0.02817358852706775,False,
PSI,Preparasubthalamic nucleus,356,0.13633601980296817,False,
PSI,Sublaterodorsal nucleus,358,-0.05945343713943885,True,0.5296610169491526
PSI,Primary somatosensory area trunk,361,0.036067634576767205,False,
PSI,Mediodorsal nucleus of thalamus,362,-0.24670660054346882,False,
PSI,Parasubthalamic nucleus,364,-0.15184643954579968,False,
PSI,Submedial nucleus of the thalamus,366,-0.20404153693667126,False,
PSI,Primary somatosensory area upper limb,369,0.14284219658713226,False,
PSI,Infracerebellar nucleus,372,-0.19326926033073022,False,
PSI,Substantia nigra compact part,374,-0.14027301344625442,False,
PSI,Supplemental somatosensory area,378,0.03689940430918881,False,
PSI,Field CA1,382,-0.23300986745092445,False,
PSI,Primary visual area,385,-0.10590091751371489,False,
PSI,Supraoptic nucleus,390,-0.032603649455928974,False,
PSI,Anteromedial visual area,394,0.011145953185312862,True,0.5296610169491526
PSI,Medullary reticular nucleus,395,0.29818289687662514,False,
PSI,Superior olivary complex,398,0.6280038164836554,False,
PSI,Anterolateral visual area,402,-0.24506509438952406,False,
PSI,Medial amygdalar nucleus,403,-0.2155247837069325,False,
PSI,Lateral visual area,409,0.8385831138404782,False,
