region,region_id,category
Tuberomammillary nucleus ventral part,1,Hypothalamus
Inferior colliculus,4,Midbrain
Principal sensory nucleus of the trigeminal,7,Pons
Interfascicular nucleus raphe,12,Midbrain
Induseum griseum,19,Hippocampal formation
Anterior amygdalar area,23,Striatum
Intergeniculate leaflet of the lateral geniculate complex,27,Thalamus
Periventricular hypothalamic nucleus anterior part,30,Hypothalamus
Paraventricular hypothalamic nucleus,38,Hypothalamus
Anterior cingulate area dorsal part,39,Isocortex
Infralimbic area,44,Isocortex
Anterior cingulate area ventral part,48,Isocortex
Nucleus accumbens,56,Striatum
Paraventricular hypothalamic nucleus descending division,63,Hypothalamus
Lateral terminal nucleus of the accessory optic tract,66,Midbrain
Anterodorsal preoptic nucleus,72,Hypothalamus
Dorsal terminal nucleus of the accessory optic tract,75,Midbrain
Inferior olivary complex,83,Medulla
Anterior hypothalamic nucleus,88,Hypothalamus
Interposed nucleus,91,Cerebellum
Dorsal cochlear nucleus,96,Medulla
Interpeduncular nucleus,100,Midbrain
Ventral cochlear nucleus,101,Medulla
Agranular insular area dorsal part,104,Isocortex
Inferior salivatory nucleus,106,Medulla
Agranular insular area posterior part,111,Isocortex
Trochlear nucleus,115,Midbrain
Periventricular hypothalamic nucleus intermediate part,118,Hypothalamus
Agranular insular area ventral part,119,Isocortex
Periventricular hypothalamic nucleus posterior part,126,Hypothalamus
Anteromedial nucleus,127,Thalamus
Midbrain reticular nucleus,128,Midbrain
Nucleus ambiguus,135,Medulla
Intermediate reticular nucleus,136,Medulla
Pontine reticular nucleus,146,Pons
Locus ceruleus,147,Pons
Paraventricular nucleus of the thalamus,149,Thalamus
Accessory olfactory bulb,151,Olfactory areas
Lateral dorsal nucleus of thalamus,155,Thalamus
Anterior olfactory nucleus,159,Olfactory areas
Nucleus prepositus,169,Medulla
Dorsal part of the lateral geniculate complex,170,Thalamus
Retrochiasmatic area,173,Hypothalamus
Nucleus of Roller,177,Medulla
Ventral part of the lateral geniculate complex,178,Thalamus
Nucleus of reuniens,181,Thalamus
Frontal pole cerebral cortex,184,Isocortex
Lateral habenula,186,Thalamus
Rhomboid nucleus,189,Thalamus
Lateral hypothalamic area,194,Hypothalamus
Rostral linear nucleus raphe,197,Midbrain
Medial vestibular nucleus,202,Medulla
Linear nucleus of the medulla,203,Medulla
Nucleus raphe magnus,206,Medulla
Area postrema,207,Medulla
Lateral vestibular nucleus,209,Medulla
Lateral mammillary nucleus,210,Hypothalamus
Red nucleus,214,Midbrain
Anterior pretectal nucleus,215,Midbrain
Superior vestibular nucleus,217,Medulla
Lateral posterior nucleus of the thalamus,218,Thalamus
Lateral preoptic area,226,Hypothalamus
Nucleus raphe pallidus,230,Medulla
Anterior tegmental nucleus,231,Midbrain
Lateral reticular nucleus,235,Medulla
Nucleus raphe pontis,238,Pons
Midbrain reticular nucleus retrorubral area,246,Midbrain
Lateral septal nucleus caudal (caudodorsal) part,250,Striatum
Lateral septal nucleus rostral (rostroventral) part,258,Striatum
Reticular nucleus of the thalamus,262,Thalamus
Anteroventral preoptic nucleus,263,Hypothalamus
Anteroventral periventricular nucleus,272,Hypothalamus
Barrington's nucleus,280,Pons
Suprachiasmatic nucleus,286,Hypothalamus
Bed nucleus of the anterior commissure,287,Pallidum
Bed nucleus of the accessory olfactory tract,292,Striatum
Superior colliculus motor related,294,Midbrain
Basolateral amygdalar nucleus,295,Cortical subplate
Magnocellular nucleus,298,Pallidum
Superior colliculus sensory related,302,Midbrain
Basomedial amygdalar nucleus,319,Cortical subplate
Suprageniculate nucleus,325,Thalamus
Primary somatosensory area barrel field,329,Isocortex
Accessory supraoptic group,332,Hypothalamus
Septohippocampal nucleus,333,Striatum
Primary somatosensory area lower limb,337,Isocortex
Subfornical organ,338,Hypothalamus
Primary somatosensory area mouth,345,Isocortex
Subparaventricular zone,347,Hypothalamus
Subceruleus nucleus,350,Pons
Bed nuclei of the stria terminalis,351,Pallidum
Primary somatosensory area nose,353,Isocortex
Preparasubthalamic nucleus,356,Hypothalamus
Sublaterodorsal nucleus,358,Pons
Primary somatosensory area trunk,361,Isocortex
Mediodorsal nucleus of thalamus,362,Thalamus
Parasubthalamic nucleus,364,Hypothalamus
Submedial nucleus of the thalamus,366,Thalamus
Primary somatosensory area upper limb,369,Isocortex
Infracerebellar nucleus,372,Medulla
Substantia nigra compact part,374,Midbrain
Supplemental somatosensory area,378,Isocortex
Field CA1,382,Hippocampal formation
Primary visual area,385,Isocortex
Supraoptic nucleus,390,Hypothalamus
Anteromedial visual area,394,Isocortex
Medullary reticular nucleus,395,Medulla
Superior olivary complex,398,Pons
Anterolateral visual area,402,Isocortex
Medial amygdalar nucleus,403,Striatum
Lateral visual area,409,Isocortex
Field CA2,423,Hippocampal formation
Posterolateral visual area,425,Isocortex
Spinal nucleus of the trigeminal oral part,445,Medulla
Field CA3,463,Hippocampal formation
Medial geniculate complex,475,Thalamus
Medial mammillary nucleus,491,Hypothalamus
Subiculum,502,Hippocampal formation
Main olfactory bulb,507,Olfactory areas
Medial preoptic nucleus,515,Hypothalamus
Medial preoptic area,523,Hypothalamus
Medial pretectal area,531,Midbrain
posteromedial visual area,533,Isocortex
Central amygdalar nucleus,536,Striatum
Temporal association areas,541,Isocortex
Medial septal nucleus,564,Pallidum
Postpiriform transition area,566,Olfactory areas
Tegmental reticular nucleus,574,Pons
Central lateral nucleus of the thalamus,575,Thalamus
Accessory facial motor nucleus,576,Medulla
Taenia tecta,589,Olfactory areas
Central linear nucleus raphe,591,Midbrain
Diagonal band nucleus,596,Pallidum
Central medial nucleus of the thalamus,599,Thalamus
Subparafascicular area,609,Thalamus
Nucleus of the lateral lemniscus,612,Pons
Tuberal nucleus,614,Hypothalamus
Cuneiform nucleus,616,Midbrain
Nucleus of the lateral olfactory tract,619,Olfactory areas
Motor nucleus of trigeminal,621,Pons
Cortical amygdalar area anterior part,639,Olfactory areas
Nucleus of the trapezoid body,642,Medulla
Cortical amygdalar area posterior part,647,Olfactory areas
Nucleus of the solitary tract,651,Medulla
Abducens nucleus,653,Medulla
Facial motor nucleus,661,Medulla
Caudoputamen,672,Striatum
Visceral area,677,Isocortex
Superior central nucleus raphe,679,Pons
Ventral medial nucleus of the thalamus,685,Thalamus
Ventrolateral preoptic nucleus,689,Hypothalamus
Ventromedial hypothalamic nucleus,693,Hypothalamus
Olivary pretectal nucleus,706,Midbrain
Cuneate nucleus,711,Medulla
Ventral posterolateral nucleus of the thalamus,718,Thalamus
Dentate gyrus,726,Hippocampal formation
Orbital area medial part,731,Isocortex
Ventral posteromedial nucleus of the thalamus,733,Thalamus
Orbital area ventrolateral part,746,Isocortex
Ventral tegmental area,749,Midbrain
Olfactory tubercle,754,Striatum
Ventral tegmental nucleus,757,Midbrain
Vascular organ of the lamina terminalis,763,Hypothalamus
Nucleus x,765,Medulla
Hypoglossal nucleus,773,Medulla
Posterior amygdalar nucleus,780,Cortical subplate
Nucleus y,781,Medulla
Piriform-amygdalar area,788,Olfactory areas
Periaqueductal gray,795,Midbrain
Zona incerta,797,Hypothalamus
Dorsal peduncular area,814,Olfactory areas
Dorsomedial nucleus of the hypothalamus,830,Hypothalamus
Dorsal motor nucleus of the vagus nerve,839,Medulla
Parasubiculum,843,Hippocampal formation
Dentate nucleus,846,Cerebellum
Parvicellular reticular nucleus,852,Medulla
Parasolitary nucleus,859,Medulla
Parabrachial nucleus,867,Pons
Dorsal nucleus raphe,872,Midbrain
Parabigeminal nucleus,874,Midbrain
Retrosplenial area dorsal part,879,Isocortex
Dorsal tegmental nucleus,880,Pons
Retrosplenial area ventral part,886,Isocortex
Retrosplenial area lateral agranular part,894,Isocortex
Ectorhinal area,895,Isocortex
External cuneate nucleus,903,Medulla
Paracentral nucleus,907,Thalamus
Lingula (I),912,Cerebellum
Entorhinal area lateral part,918,Hippocampal formation
Central lobule,920,Cerebellum
Perirhinal area,922,Isocortex
Entorhinal area medial part dorsal zone,926,Hippocampal formation
Culmen,928,Cerebellum
Parafascicular nucleus,930,Thalamus
Pontine gray,931,Pons
Declive (VI),936,Cerebellum
Folium-tuber vermis (VII),944,Cerebellum
Posterior hypothalamic nucleus,946,Hypothalamus
Pyramus (VIII),951,Cerebellum
Uvula (IX),957,Cerebellum
Piriform area,961,Olfactory areas
Nodulus (X),968,Cerebellum
Paragigantocellular reticular nucleus dorsal part,970,Medulla
Prelimbic area,972,Isocortex
Edinger-Westphal nucleus,975,Midbrain
Paragigantocellular reticular nucleus lateral part,978,Medulla
Dorsal premammillary nucleus,980,Hypothalamus
Fasciola cinerea,982,Hippocampal formation
Primary motor area,985,Isocortex
Fastigial nucleus,989,Cerebellum
Secondary motor area,993,Isocortex
Fundus of striatum,998,Striatum
Primary auditory area,1002,Isocortex
Ventral premammillary nucleus,1004,Hypothalamus
Simple lobule,1007,Cerebellum
fiber tracts,1009,fiber tracts
Dorsal auditory area,1011,Isocortex
Ansiform lobule,1017,Cerebellum
Ventral auditory area,1018,Isocortex
Posterior complex of the thalamus,1020,Thalamus
Paramedian lobule,1025,Cerebellum
Posterior auditory area,1027,Isocortex
Posterior limiting nucleus of the thalamus,1029,Thalamus
Copula pyramidis,1033,Cerebellum
Postsubiculum,1037,Hippocampal formation
Paraflocculus,1041,Cerebellum
Flocculus,1049,Cerebellum
Gustatory areas,1057,Isocortex
Parapyramidal nucleus,1069,Medulla
Presubiculum,1084,Hippocampal formation
Medullary reticular nucleus dorsal part,1098,Medulla
Intercalated amygdalar nucleus,1105,Striatum
Medullary reticular nucleus ventral part,1107,Medulla
Parastrial nucleus,1109,Hypothalamus
Interanteromedial nucleus of the thalamus,1120,Thalamus
Tuberomammillary nucleus dorsal part,1126,Hypothalamus
Median eminence,10671,Hypothalamus
