id,name
1,Tuberomammillary nucleus ventral part
4,Inferior colliculus
7,Principal sensory nucleus of the trigeminal
12,Interfascicular nucleus raphe
19,Induseum griseum
23,Anterior amygdalar area
27,Intergeniculate leaflet of the lateral geniculate complex
30,Periventricular hypothalamic nucleus anterior part
38,Paraventricular hypothalamic nucleus
39,Anterior cingulate area dorsal part
44,Infralimbic area
48,Anterior cingulate area ventral part
56,Nucleus accumbens
63,Paraventricular hypothalamic nucleus descending division
66,Lateral terminal nucleus of the accessory optic tract
72,Anterodorsal preoptic nucleus
75,Dorsal terminal nucleus of the accessory optic tract
83,Inferior olivary complex
88,Anterior hypothalamic nucleus
91,Interposed nucleus
96,Dorsal cochlear nucleus
100,Interpeduncular nucleus
101,Ventral cochlear nucleus
104,Agranular insular area dorsal part
106,Inferior salivatory nucleus
111,Agranular insular area posterior part
115,Trochlear nucleus
118,Periventricular hypothalamic nucleus intermediate part
119,Agranular insular area ventral part
126,Periventricular hypothalamic nucleus posterior part
127,Anteromedial nucleus
128,Midbrain reticular nucleus
135,Nucleus ambiguus
136,Intermediate reticular nucleus
146,Pontine reticular nucleus
147,Locus ceruleus
149,Paraventricular nucleus of the thalamus
151,Accessory olfactory bulb
155,Lateral dorsal nucleus of thalamus
159,Anterior olfactory nucleus
169,Nucleus prepositus
170,Dorsal part of the lateral geniculate complex
173,Retrochiasmatic area
177,Nucleus of Roller
178,Ventral part of the lateral geniculate complex
181,Nucleus of reuniens
184,Frontal pole cerebral cortex
186,Lateral habenula
189,Rhomboid nucleus
194,Lateral hypothalamic area
197,Rostral linear nucleus raphe
202,Medial vestibular nucleus
203,Linear nucleus of the medulla
206,Nucleus raphe magnus
207,Area postrema
209,Lateral vestibular nucleus
210,Lateral mammillary nucleus
214,Red nucleus
215,Anterior pretectal nucleus
217,Superior vestibular nucleus
218,Lateral posterior nucleus of the thalamus
226,Lateral preoptic area
230,Nucleus raphe pallidus
231,Anterior tegmental nucleus
235,Lateral reticular nucleus
238,Nucleus raphe pontis
246,Midbrain reticular nucleus retrorubral area
250,Lateral septal nucleus caudal (caudodorsal) part
258,Lateral septal nucleus rostral (rostroventral) part
262,Reticular nucleus of the thalamus
263,Anteroventral preoptic nucleus
272,Anteroventral periventricular nucleus
280,Barrington's nucleus
286,Suprachiasmatic nucleus
287,Bed nucleus of the anterior commissure
292,Bed nucleus of the accessory olfactory tract
294,Superior colliculus motor related
295,Basolateral amygdalar nucleus
298,Magnocellular nucleus
302,Superior colliculus sensory related
319,Basomedial amygdalar nucleus
325,Suprageniculate nucleus
329,Primary somatosensory area barrel field
332,Accessory supraoptic group
333,Septohippocampal nucleus
337,Primary somatosensory area lower limb
338,Subfornical organ
345,Primary somatosensory area mouth
347,Subparaventricular zone
350,Subceruleus nucleus
351,Bed nuclei of the stria terminalis
353,Primary somatosensory area nose
356,Preparasubthalamic nucleus
358,Sublaterodorsal nucleus
361,Primary somatosensory area trunk
362,Mediodorsal nucleus of thalamus
364,Parasubthalamic nucleus
366,Submedial nucleus of the thalamus
369,Primary somatosensory area upper limb
372,Infracerebellar nucleus
374,Substantia nigra compact part
378,Supplemental somatosensory area
382,Field CA1
385,Primary visual area
390,Supraoptic nucleus
394,Anteromedial visual area
395,Medullary reticular nucleus
398,Superior olivary complex
402,Anterolateral visual area
403,Medial amygdalar nucleus
409,Lateral visual area
423,Field CA2
425,Posterolateral visual area
445,Spinal nucleus of the trigeminal oral part
463,Field CA3
475,Medial geniculate complex
491,Medial mammillary nucleus
502,Subiculum
507,Main olfactory bulb
515,Medial preoptic nucleus
523,Medial preoptic area
531,Medial pretectal area
533,posteromedial visual area
536,Central amygdalar nucleus
541,Temporal association areas
564,Medial septal nucleus
566,Postpiriform transition area
574,Tegmental reticular nucleus
575,Central lateral nucleus of the thalamus
576,Accessory facial motor nucleus
589,Taenia tecta
591,Central linear nucleus raphe
596,Diagonal band nucleus
599,Central medial nucleus of the thalamus
609,Subparafascicular area
612,Nucleus of the lateral lemniscus
614,Tuberal nucleus
616,Cuneiform nucleus
619,Nucleus of the lateral olfactory tract
621,Motor nucleus of trigeminal
639,Cortical amygdalar area anterior part
642,Nucleus of the trapezoid body
647,Cortical amygdalar area posterior part
651,Nucleus of the solitary tract
653,Abducens nucleus
661,Facial motor nucleus
672,Caudoputamen
677,Visceral area
679,Superior central nucleus raphe
685,Ventral medial nucleus of the thalamus
689,Ventrolateral preoptic nucleus
693,Ventromedial hypothalamic nucleus
706,Olivary pretectal nucleus
711,Cuneate nucleus
718,Ventral posterolateral nucleus of the thalamus
726,Dentate gyrus
731,Orbital area medial part
733,Ventral posteromedial nucleus of the thalamus
746,Orbital area ventrolateral part
749,Ventral tegmental area
754,Olfactory tubercle
757,Ventral tegmental nucleus
763,Vascular organ of the lamina terminalis
765,Nucleus x
773,Hypoglossal nucleus
780,Posterior amygdalar nucleus
781,Nucleus y
788,Piriform-amygdalar area
795,Periaqueductal gray
797,Zona incerta
814,Dorsal peduncular area
830,Dorsomedial nucleus of the hypothalamus
839,Dorsal motor nucleus of the vagus nerve
843,Parasubiculum
846,Dentate nucleus
852,Parvicellular reticular nucleus
859,Parasolitary nucleus
867,Parabrachial nucleus
872,Dorsal nucleus raphe
874,Parabigeminal nucleus
879,Retrosplenial area dorsal part
880,Dorsal tegmental nucleus
886,Retrosplenial area ventral part
894,Retrosplenial area lateral agranular part
895,Ectorhinal area
903,External cuneate nucleus
907,Paracentral nucleus
912,Lingula (I)
918,Entorhinal area lateral part
920,Central lobule
922,Perirhinal area
926,Entorhinal area medial part dorsal zone
928,Culmen
930,Parafascicular nucleus
931,Pontine gray
936,Declive (VI)
944,Folium-tuber vermis (VII)
946,Posterior hypothalamic nucleus
951,Pyramus (VIII)
957,Uvula (IX)
961,Piriform area
968,Nodulus (X)
970,Paragigantocellular reticular nucleus dorsal part
972,Prelimbic area
975,Edinger-Westphal nucleus
978,Paragigantocellular reticular nucleus lateral part
980,Dorsal premammillary nucleus
982,Fasciola cinerea
985,Primary motor area
989,Fastigial nucleus
993,Secondary motor area
998,Fundus of striatum
1002,Primary auditory area
1004,Ventral premammillary nucleus
1007,Simple lobule
1009,fiber tracts
1011,Dorsal auditory area
1017,Ansiform lobule
1018,Ventral auditory area
1020,Posterior complex of the thalamus
1025,Paramedian lobule
1027,Posterior auditory area
1029,Posterior limiting nucleus of the thalamus
1033,Copula pyramidis
1037,Postsubiculum
1041,Paraflocculus
1049,Flocculus
1057,Gustatory areas
1069,Parapyramidal nucleus
1084,Presubiculum
1098,Medullary reticular nucleus dorsal part
1105,Intercalated amygdalar nucleus
1107,Medullary reticular nucleus ventral part
1109,Parastrial nucleus
1120,Interanteromedial nucleus of the thalamus
1126,Tuberomammillary nucleus dorsal part
10671,Median eminence
