comparison,metric,region,region_id,diff,p_value,q_value,significant_fdr05
PSI_vs_SAL,wdeg,Tuberomammillary nucleus ventral part,1,-5.265837901364904,0.7722227777222278,0.9685936168287933,False
PSI_vs_SAL,wdeg,Inferior colliculus,4,1.699537251643875,0.9671032896710329,1.0,False
PSI_vs_SAL,wdeg,Principal sensory nucleus of the trigeminal,7,50.78896231194763,0.1474852514748525,0.6355273563552735,False
PSI_vs_SAL,wdeg,Interfascicular nucleus raphe,12,22.054275243530242,0.5113488651134886,0.8948017606998424,False
PSI_vs_SAL,wdeg,Induseum griseum,19,17.563707262253615,0.20927907209279073,0.7015037132650371,False
PSI_vs_SAL,wdeg,Anterior amygdalar area,23,82.51614808116312,0.026797320267973202,0.34417986772751297,False
PSI_vs_SAL,wdeg,Intergeniculate leaflet of the lateral geniculate complex,27,90.48629602447932,0.006799320067993201,0.34417986772751297,False
PSI_vs_SAL,wdeg,Periventricular hypothalamic nucleus anterior part,30,-7.160328003036227,0.8934106589341065,1.0,False
PSI_vs_SAL,wdeg,Paraventricular hypothalamic nucleus,38,-5.2140253228915014,0.9435056494350565,1.0,False
PSI_vs_SAL,wdeg,Anterior cingulate area dorsal part,39,10.153609323152807,0.9132086791320868,1.0,False
PSI_vs_SAL,wdeg,Infralimbic area,44,10.266551971426196,0.7214278572142786,0.9685936168287933,False
PSI_vs_SAL,wdeg,Anterior cingulate area ventral part,48,-8.902921383909018,0.8049195080491951,0.998774468102928,False
PSI_vs_SAL,wdeg,Nucleus accumbens,56,24.043588478131255,0.5396460353964604,0.9056115221811153,False
PSI_vs_SAL,wdeg,Paraventricular hypothalamic nucleus descending division,63,-59.649190805554014,0.026497350264973504,0.34417986772751297,False
PSI_vs_SAL,wdeg,Lateral terminal nucleus of the accessory optic tract,66,35.37868284735869,0.3712628737126287,0.7897811988712632,False
PSI_vs_SAL,wdeg,Anterodorsal preoptic nucleus,72,7.888941318454812,0.8636136386361364,1.0,False
PSI_vs_SAL,wdeg,Dorsal terminal nucleus of the accessory optic tract,75,70.02442117097253,0.09149085091490851,0.5918002794315163,False
PSI_vs_SAL,wdeg,Inferior olivary complex,83,27.05632357526028,0.6512348765123488,0.9507951643860004,False
PSI_vs_SAL,wdeg,Anterior hypothalamic nucleus,88,42.73478253226682,0.34796520347965204,0.7782212344803257,False
PSI_vs_SAL,wdeg,Interposed nucleus,91,39.278382907369604,0.24647535246475352,0.7015037132650371,False
PSI_vs_SAL,wdeg,Dorsal cochlear nucleus,96,-41.03141159459898,0.23127687231276872,0.7015037132650371,False
PSI_vs_SAL,wdeg,Interpeduncular nucleus,100,1.5901944116374978,0.965003499650035,1.0,False
PSI_vs_SAL,wdeg,Ventral cochlear nucleus,101,78.76775406753109,0.11328867113288671,0.6355273563552735,False
PSI_vs_SAL,wdeg,Agranular insular area dorsal part,104,-2.7794928181521072,0.8698130186981302,1.0,False
PSI_vs_SAL,wdeg,Inferior salivatory nucleus,106,-0.1970490520790804,0.9707029297070293,1.0,False
PSI_vs_SAL,wdeg,Agranular insular area posterior part,111,17.292309169903632,0.7211278872112789,0.9685936168287933,False
PSI_vs_SAL,wdeg,Trochlear nucleus,115,-49.66176750390349,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Periventricular hypothalamic nucleus intermediate part,118,33.68984661958598,0.37396260373962603,0.7897811988712632,False
PSI_vs_SAL,wdeg,Agranular insular area ventral part,119,-5.965881730874827,0.6579342065793421,0.9507951643860004,False
PSI_vs_SAL,wdeg,Periventricular hypothalamic nucleus posterior part,126,2.2711180809442055,0.9323067693230677,1.0,False
PSI_vs_SAL,wdeg,Anteromedial nucleus,127,-3.555414308515708,0.8892110788921108,1.0,False
PSI_vs_SAL,wdeg,Midbrain reticular nucleus,128,-22.128890408464514,0.45265473452654736,0.8750923294767297,False
PSI_vs_SAL,wdeg,Nucleus ambiguus,135,49.461290121333235,0.18238176182381763,0.7015037132650371,False
PSI_vs_SAL,wdeg,Intermediate reticular nucleus,136,-36.3251351442846,0.25607439256074394,0.7015037132650371,False
PSI_vs_SAL,wdeg,Pontine reticular nucleus,146,-21.470048574815905,0.6160383961603839,0.9212267452500033,False
PSI_vs_SAL,wdeg,Locus ceruleus,147,3.461054241872745,1.0,1.0,False
PSI_vs_SAL,wdeg,Paraventricular nucleus of the thalamus,149,-36.97116057611515,0.29787021297870214,0.7277859842881692,False
PSI_vs_SAL,wdeg,Accessory olfactory bulb,151,-11.779442751758296,0.6362363763623637,0.9381906529843912,False
PSI_vs_SAL,wdeg,Lateral dorsal nucleus of thalamus,155,-9.882838855280625,0.7441255874412559,0.9685936168287933,False
PSI_vs_SAL,wdeg,Anterior olfactory nucleus,159,-1.7888065144482255,0.9438056194380562,1.0,False
PSI_vs_SAL,wdeg,Nucleus prepositus,169,1.2127553785120426,1.0,1.0,False
PSI_vs_SAL,wdeg,Dorsal part of the lateral geniculate complex,170,-4.418689274180338,0.9678032196780322,1.0,False
PSI_vs_SAL,wdeg,Retrochiasmatic area,173,75.30828749147084,0.0184981501849815,0.34417986772751297,False
PSI_vs_SAL,wdeg,Nucleus of Roller,177,72.37236391182091,0.0192980701929807,0.34417986772751297,False
PSI_vs_SAL,wdeg,Ventral part of the lateral geniculate complex,178,14.083914872852063,0.42395760423957607,0.8515080695320298,False
PSI_vs_SAL,wdeg,Nucleus of reuniens,181,10.99348663459969,0.5172482751724827,0.8948017606998424,False
PSI_vs_SAL,wdeg,Frontal pole cerebral cortex,184,39.90431099265514,0.20207979202079793,0.7015037132650371,False
PSI_vs_SAL,wdeg,Lateral habenula,186,1.9314860277945627,0.9688031196880312,1.0,False
PSI_vs_SAL,wdeg,Rhomboid nucleus,189,-14.70459605484308,0.5489451054894511,0.9056115221811153,False
PSI_vs_SAL,wdeg,Lateral hypothalamic area,194,-53.72425829329782,0.0923907609239076,0.5918002794315163,False
PSI_vs_SAL,wdeg,Rostral linear nucleus raphe,197,-44.5969607731119,0.31156884311568844,0.7474232576742326,False
PSI_vs_SAL,wdeg,Medial vestibular nucleus,202,25.510423779285986,0.45345465453454653,0.8750923294767297,False
PSI_vs_SAL,wdeg,Linear nucleus of the medulla,203,15.53765809759625,0.9009099090090991,1.0,False
PSI_vs_SAL,wdeg,Nucleus raphe magnus,206,8.249550552367168,0.7852214778522147,0.979460475005131,False
PSI_vs_SAL,wdeg,Area postrema,207,-0.9476903267508305,1.0,1.0,False
PSI_vs_SAL,wdeg,Lateral vestibular nucleus,209,-6.970155483560859,0.8256174382561744,1.0,False
PSI_vs_SAL,wdeg,Lateral mammillary nucleus,210,-0.7285890432966937,0.9798020197980202,1.0,False
PSI_vs_SAL,wdeg,Red nucleus,214,27.959431404900855,0.20577942205779423,0.7015037132650371,False
PSI_vs_SAL,wdeg,Anterior pretectal nucleus,215,70.39908569659306,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Superior vestibular nucleus,217,-31.66448317799376,0.2602739726027397,0.7015037132650371,False
